Location,BusinessYear,StateCode,IssuerId,PlanId
Alabama,2023,AL,12538.0,12538AL0020003-00
Alabama,2023,AL,12538.0,12538AL0020003-01
Alabama,2023,AL,12538.0,12538AL0020004-00
Alabama,2023,AL,12538.0,12538AL0020004-01
Alabama,2023,AL,12538.0,12538AL0020005-00
Alabama,2023,AL,12538.0,12538AL0020005-01
Alabama,2023,AL,12538.0,12538AL0020006-00
Alabama,2023,AL,12538.0,12538AL0020006-01
Alabama,2023,AL,17540.0,17540AL0130002-00
Alabama,2023,AL,17540.0,17540AL0130002-01
Alabama,2023,AL,17540.0,17540AL0140002-00
Alabama,2023,AL,17540.0,17540AL0140002-01
Alabama,2023,AL,17540.0,17540AL0150002-00
Alabama,2023,AL,17540.0,17540AL0150002-01
Alabama,2023,AL,18239.0,18239AL0010001-00
Alabama,2023,AL,18239.0,18239AL0010001-01
Alabama,2023,AL,18239.0,18239AL0010002-00
Alabama,2023,AL,18239.0,18239AL0010002-01
Alabama,2023,AL,18239.0,18239AL0010003-00
Alabama,2023,AL,18239.0,18239AL0010003-01
Alabama,2023,AL,18239.0,18239AL0010004-00
Alabama,2023,AL,18239.0,18239AL0010004-01
Alabama,2023,AL,18756.0,18756AL0140001-00
Alabama,2023,AL,28725.0,28725AL0100003-00
Alabama,2023,AL,28725.0,28725AL0100004-00
Alabama,2023,AL,28725.0,28725AL0110001-01
Alabama,2023,AL,28725.0,28725AL0110002-01
Alabama,2023,AL,28725.0,28725AL0120001-00
Alabama,2023,AL,28725.0,28725AL0120002-00
Alabama,2023,AL,28725.0,28725AL0130001-01
Alabama,2023,AL,28725.0,28725AL0130002-01
Alabama,2023,AL,28725.0,28725AL0150001-01
Alabama,2023,AL,28725.0,28725AL0140001-00
Alabama,2023,AL,44580.0,44580AL0380001-00
Alabama,2023,AL,44580.0,44580AL0380001-01
Alabama,2023,AL,44580.0,44580AL0380003-00
Alabama,2023,AL,44580.0,44580AL0380003-01
Alabama,2023,AL,44580.0,44580AL0380004-00
Alabama,2023,AL,44580.0,44580AL0380004-01
Alabama,2023,AL,46363.0,46363AL0010001-01
Alabama,2023,AL,46363.0,46363AL0010002-01
Alabama,2023,AL,46363.0,46363AL0010003-01
Alabama,2023,AL,46363.0,46363AL0010004-01
Alabama,2023,AL,46944.0,46944AL0500001-01
Alabama,2023,AL,46944.0,46944AL0280001-00
Alabama,2023,AL,46944.0,46944AL0280001-01
Alabama,2023,AL,46944.0,46944AL0370001-00
Alabama,2023,AL,46944.0,46944AL0370001-01
Alabama,2023,AL,46944.0,46944AL0370001-02
Alabama,2023,AL,46944.0,46944AL0370001-03
Alabama,2023,AL,46944.0,46944AL0340001-00
Alabama,2023,AL,46944.0,46944AL0340001-01
Alabama,2023,AL,46944.0,46944AL0670001-00
Alabama,2023,AL,46944.0,46944AL0670001-01
Alabama,2023,AL,46944.0,46944AL0410001-00
Alabama,2023,AL,46944.0,46944AL0410001-01
Alabama,2023,AL,46944.0,46944AL0410001-02
Alabama,2023,AL,46944.0,46944AL0410001-03
Alabama,2023,AL,46944.0,46944AL0410001-04
Alabama,2023,AL,46944.0,46944AL0410001-05
Alabama,2023,AL,46944.0,46944AL0410001-06
Alabama,2023,AL,46944.0,46944AL0680001-00
Alabama,2023,AL,46944.0,46944AL0680001-01
Alabama,2023,AL,46944.0,46944AL0380001-00
Alabama,2023,AL,46944.0,46944AL0380001-01
Alabama,2023,AL,46944.0,46944AL0560001-00
Alabama,2023,AL,46944.0,46944AL0560001-01
Alabama,2023,AL,46944.0,46944AL0560001-02
Alabama,2023,AL,46944.0,46944AL0560001-03
Alabama,2023,AL,46944.0,46944AL0460001-00
Alabama,2023,AL,46944.0,46944AL0460001-01
Alabama,2023,AL,46944.0,46944AL0460001-02
Alabama,2023,AL,46944.0,46944AL0460001-03
Alabama,2023,AL,46944.0,46944AL0430001-00
Alabama,2023,AL,46944.0,46944AL0430001-01
Alabama,2023,AL,46944.0,46944AL0470001-00
Alabama,2023,AL,46944.0,46944AL0470001-01
Alabama,2023,AL,46944.0,46944AL0650001-00
Alabama,2023,AL,46944.0,46944AL0650001-01
Alabama,2023,AL,46944.0,46944AL0650001-02
Alabama,2023,AL,46944.0,46944AL0650001-03
Alabama,2023,AL,46944.0,46944AL0660001-00
Alabama,2023,AL,46944.0,46944AL0660001-01
Alabama,2023,AL,46944.0,46944AL0660001-02
Alabama,2023,AL,46944.0,46944AL0660001-03
Alabama,2023,AL,46944.0,46944AL0660001-04
Alabama,2023,AL,46944.0,46944AL0660001-05
Alabama,2023,AL,46944.0,46944AL0660001-06
Alabama,2023,AL,46944.0,46944AL0710001-00
Alabama,2023,AL,46944.0,46944AL0710001-01
Alabama,2023,AL,46944.0,46944AL0710001-02
Alabama,2023,AL,46944.0,46944AL0710001-03
Alabama,2023,AL,46944.0,46944AL0710001-04
Alabama,2023,AL,46944.0,46944AL0710001-05
Alabama,2023,AL,46944.0,46944AL0710001-06
Alabama,2023,AL,46944.0,46944AL0720001-00
Alabama,2023,AL,46944.0,46944AL0720001-01
Alabama,2023,AL,46944.0,46944AL0720001-02
Alabama,2023,AL,46944.0,46944AL0720001-03
Alabama,2023,AL,46944.0,46944AL0730001-00
Alabama,2023,AL,46944.0,46944AL0730001-01
Alabama,2023,AL,46944.0,46944AL0730001-02
Alabama,2023,AL,46944.0,46944AL0730001-03
Alabama,2023,AL,46944.0,46944AL0730001-04
Alabama,2023,AL,46944.0,46944AL0730001-05
Alabama,2023,AL,46944.0,46944AL0730001-06
Alabama,2023,AL,46944.0,46944AL0740001-00
Alabama,2023,AL,46944.0,46944AL0740001-01
Alabama,2023,AL,46944.0,46944AL0740001-02
Alabama,2023,AL,46944.0,46944AL0740001-03
Alabama,2023,AL,46944.0,46944AL0740001-04
Alabama,2023,AL,46944.0,46944AL0740001-05
