Business Year,State,Insurer ID,Price Gap,Price Gap (Previous Year),Market Share (%),Market Share (%) (Previous Year),Medicaid Expansion Impact,Medicaid Expansion Impact (Previous Year),Plan Count,Plan Count (Previous Year),Market Exit
2023,Alabama,12538,-13,,0.027681661,,0,,8,,0
2024,Alabama,12538,-13,-13,0.027210884,0.027681661,0,0,8,8,0
2025,Alabama,12538,-13,-13,0.028673835,0.027210884,0,0,8,8,0
2023,Alabama,17540,-13,,0.020761246,,0,,6,,0
2024,Alabama,17540,-13,-13,0.020408163,0.020761246,0,0,6,6,0
2025,Alabama,17540,-13,-13,0.021505376,0.020408163,0,0,6,6,0
2023,Alabama,18239,-13,,0.027681661,,0,,8,,0
2024,Alabama,18239,-13,-13,0.027210884,0.027681661,0,0,8,8,0
2025,Alabama,18239,-13,-13,0.028673835,0.027210884,0,0,8,8,0
2023,Alabama,18756,-13,,0.003460208,,0,,1,,1
2023,Alabama,28725,-13,,0.034602076,,0,,10,,0
2024,Alabama,28725,-13,-13,0.034013605,0.034602076,0,0,10,10,0
2025,Alabama,28725,-13,-13,0.035842294,0.034013605,0,0,10,10,0
2023,Alabama,44580,-13,,0.020761246,,0,,6,,0
2024,Alabama,44580,-13,-13,0.020408163,0.020761246,0,0,6,6,0
2025,Alabama,44580,-13,-13,0.021505376,0.020408163,0,0,6,6,0
2023,Alabama,46363,-13,,0.01384083,,0,,4,,0
2024,Alabama,46363,-13,-13,0.013605442,0.01384083,0,0,4,4,0
2025,Alabama,46363,-13,-13,0.014336918,0.013605442,0,0,4,4,0
2023,Alabama,46944,-13,,0.256055363,,0,,74,,0
2024,Alabama,46944,-13,-13,0.258503401,0.256055363,0,0,76,74,0
2025,Alabama,46944,-13,-13,0.272401434,0.258503401,0,0,76,76,0
2023,Alabama,53932,-13,,0.321799308,,0,,93,,0
2024,Alabama,53932,-13,-13,0.326530612,0.321799308,0,0,96,93,0
2025,Alabama,53932,-13,-13,0.297491039,0.326530612,0,0,83,96,0
2023,Alabama,60075,-13,,0.01384083,,0,,4,,0
2024,Alabama,60075,-13,-13,0.013605442,0.01384083,0,0,4,4,0
2025,Alabama,60075,-13,-13,0.021505376,0.013605442,0,0,6,4,0
2023,Alabama,69461,-13,,0.24567474,,0,,71,,0
2024,Alabama,69461,-13,-13,0.241496599,0.24567474,0,0,71,71,0
2025,Alabama,69461,-13,-13,0.240143369,0.241496599,0,0,67,71,0
2023,Alabama,82285,-13,,0.01384083,,0,,4,,0
2024,Alabama,82285,-13,-13,0.017006803,0.01384083,0,0,5,4,0
2025,Alabama,82285,-13,-13,0.017921147,0.017006803,0,0,5,5,0
2026,Alabama,,-13,,,,0,,0,,0
2023,Alaska,21989,-13,,0.278846154,,2.278361637,,29,,0
2024,Alaska,21989,-13,-13,0.278846154,0.278846154,2.278361637,2.278361637,29,29,0
2025,Alaska,21989,-13,-13,0.287128713,0.278846154,2.278361637,2.278361637,29,29,0
2023,Alaska,38344,-13,,0.317307692,,2.278361637,,33,,0
2024,Alaska,38344,-13,-13,0.317307692,0.317307692,2.278361637,2.278361637,33,33,0
2025,Alaska,38344,-13,-13,0.297029703,0.317307692,2.278361637,2.278361637,30,33,0
2024,Alaska,73836,-13,,0.326923077,,2.278361637,,34,,0
2025,Alaska,73836,-13,-13,0.336633663,0.326923077,2.278361637,2.278361637,34,34,0
2023,Alaska,74819,-13,,0.076923077,,2.278361637,,8,,0
2024,Alaska,74819,-13,-13,0.076923077,0.076923077,2.278361637,2.278361637,8,8,0
2025,Alaska,74819,-13,-13,0.079207921,0.076923077,2.278361637,2.278361637,8,8,0
2023,Alaska,77963,-13,,0.326923077,,2.278361637,,34,,1
2026,Alaska,,-13,,,,2.278361637,,0,,0
2023,Arizona,12303,-13,,0.00433213,,1.203671178,,6,,0
2024,Arizona,12303,-13,-13,0.005025126,0.00433213,1.203671178,1.203671178,6,6,0
2025,Arizona,12303,-13,-13,0.005474453,0.005025126,1.203671178,1.203671178,6,6,0
2023,Arizona,13877,-13,,0.076534296,,1.203671178,,106,,0
2024,Arizona,13877,-13,-13,0.054438861,0.076534296,1.203671178,1.203671178,65,106,0
2025,Arizona,13877,-13,-13,0.052007299,0.054438861,1.203671178,1.203671178,57,65,0
2023,Arizona,17100,-13,,0.000722022,,1.203671178,,1,,0
2024,Arizona,17100,-13,-13,0.000837521,0.000722022,1.203671178,1.203671178,1,1,0
2025,Arizona,17100,-13,-13,0.000912409,0.000837521,1.203671178,1.203671178,1,1,0
