Business Year,State,Insurer ID,Price Gap,Price Gap (Previous Year),Market Share (%),Market Share (%) (Previous Year),Medicaid Expansion Impact,Medicaid Expansion Impact (Previous Year),Plan Count,Plan Count (Previous Year),Market Exit,predicted_risk,risk_level
2023,Alabama,12538.0,-13,,0.027681661,,0.0,,8,,0,0.6321208556341793,High
2024,Alabama,12538.0,-13,-13.0,0.027210884,0.027681661,0.0,0.0,8,8.0,0,0.0,Low
2025,Alabama,12538.0,-13,-13.0,0.028673835,0.027210884,0.0,0.0,8,8.0,0,0.0,Low
2023,Alabama,17540.0,-13,,0.020761246,,0.0,,6,,0,0.6321208556341793,High
2024,Alabama,17540.0,-13,-13.0,0.020408163,0.020761246,0.0,0.0,6,6.0,0,0.0,Low
2025,Alabama,17540.0,-13,-13.0,0.021505376,0.020408163,0.0,0.0,6,6.0,0,0.0,Low
2023,Alabama,18239.0,-13,,0.027681661,,0.0,,8,,0,0.6321208556341793,High
2024,Alabama,18239.0,-13,-13.0,0.027210884,0.027681661,0.0,0.0,8,8.0,0,0.0,Low
2025,Alabama,18239.0,-13,-13.0,0.028673835,0.027210884,0.0,0.0,8,8.0,0,0.0,Low
2023,Alabama,18756.0,-13,,0.003460208,,0.0,,1,,1,0.6321208556341793,High
2023,Alabama,28725.0,-13,,0.034602076,,0.0,,10,,0,0.6321208556341793,High
2024,Alabama,28725.0,-13,-13.0,0.034013605,0.034602076,0.0,0.0,10,10.0,0,0.01,Low
2025,Alabama,28725.0,-13,-13.0,0.035842294,0.034013605,0.0,0.0,10,10.0,0,0.01,Low
2023,Alabama,44580.0,-13,,0.020761246,,0.0,,6,,0,0.6321208556341793,High
2024,Alabama,44580.0,-13,-13.0,0.020408163,0.020761246,0.0,0.0,6,6.0,0,0.0,Low
2025,Alabama,44580.0,-13,-13.0,0.021505376,0.020408163,0.0,0.0,6,6.0,0,0.0,Low
2023,Alabama,46363.0,-13,,0.01384083,,0.0,,4,,0,0.6321208556341793,High
2024,Alabama,46363.0,-13,-13.0,0.013605442,0.01384083,0.0,0.0,4,4.0,0,0.0,Low
2025,Alabama,46363.0,-13,-13.0,0.014336918,0.013605442,0.0,0.0,4,4.0,0,0.0,Low
2023,Alabama,46944.0,-13,,0.256055363,,0.0,,74,,0,0.6321208556341793,High
2024,Alabama,46944.0,-13,-13.0,0.258503401,0.256055363,0.0,0.0,76,74.0,0,0.0,Low
2025,Alabama,46944.0,-13,-13.0,0.272401434,0.258503401,0.0,0.0,76,76.0,0,0.0,Low
2023,Alabama,53932.0,-13,,0.321799308,,0.0,,93,,0,0.6321208556341793,High
2024,Alabama,53932.0,-13,-13.0,0.326530612,0.321799308,0.0,0.0,96,93.0,0,0.0,Low
2025,Alabama,53932.0,-13,-13.0,0.297491039,0.326530612,0.0,0.0,83,96.0,0,0.0,Low
2023,Alabama,60075.0,-13,,0.01384083,,0.0,,4,,0,0.6321208556341793,High
2024,Alabama,60075.0,-13,-13.0,0.013605442,0.01384083,0.0,0.0,4,4.0,0,0.0,Low
2025,Alabama,60075.0,-13,-13.0,0.021505376,0.013605442,0.0,0.0,6,4.0,0,0.0,Low
2023,Alabama,69461.0,-13,,0.24567474,,0.0,,71,,0,0.6321208556341793,High
2024,Alabama,69461.0,-13,-13.0,0.241496599,0.24567474,0.0,0.0,71,71.0,0,0.0,Low
2025,Alabama,69461.0,-13,-13.0,0.240143369,0.241496599,0.0,0.0,67,71.0,0,0.0,Low
2023,Alabama,82285.0,-13,,0.01384083,,0.0,,4,,0,0.6321208556341793,High
2024,Alabama,82285.0,-13,-13.0,0.017006803,0.01384083,0.0,0.0,5,4.0,0,0.0,Low
2025,Alabama,82285.0,-13,-13.0,0.017921147,0.017006803,0.0,0.0,5,5.0,0,0.0,Low
2026,Alabama,,-13,,,,0.0,,0,,0,0.6321208556341793,High
2023,Alaska,21989.0,-13,,0.278846154,,2.278361637,,29,,0,0.6321208556341793,High
2024,Alaska,21989.0,-13,-13.0,0.278846154,0.278846154,2.278361637,2.278361637,29,29.0,0,0.0,Low
2025,Alaska,21989.0,-13,-13.0,0.287128713,0.278846154,2.278361637,2.278361637,29,29.0,0,0.0,Low
2023,Alaska,38344.0,-13,,0.317307692,,2.278361637,,33,,0,0.6321208556341793,High
2024,Alaska,38344.0,-13,-13.0,0.317307692,0.317307692,2.278361637,2.278361637,33,33.0,0,0.0,Low
2025,Alaska,38344.0,-13,-13.0,0.297029703,0.317307692,2.278361637,2.278361637,30,33.0,0,0.0,Low
2024,Alaska,73836.0,-13,,0.326923077,,2.278361637,,34,,0,0.6321208556341793,High
2025,Alaska,73836.0,-13,-13.0,0.336633663,0.326923077,2.278361637,2.278361637,34,34.0,0,0.0,Low
