state,year,predicted_risk,market_exit_rate,Price Gap,Market Share (%),Medicaid Expansion Impact,Plan Count,risk_level
Alabama,2023,0.6321208556341793,0.08333333333333333,-13.0,0.08333333325,0.0,24.083333333333332,High
Alabama,2024,0.0009090909090909091,0.0,-13.0,0.09090909072727273,0.0,26.727272727272727,Low
Alabama,2025,0.0009090909090909091,0.0,-13.0,0.09090909081818181,0.0,25.363636363636363,Low
Alabama,2026,0.6321208556341793,0.0,-13.0,,0.0,0.0,High
Alaska,2023,0.6321208556341793,0.25,-13.0,0.25,2.278361637,26.0,High
Alaska,2024,0.15803021390854483,0.0,-13.0,0.25,2.278361637,26.0,Low
Alaska,2025,0.0,0.0,-13.0,0.25,2.278361637,25.25,Low
Alaska,2026,0.6321208556341793,0.0,-13.0,,2.278361637,0.0,High
Arizona,2023,0.6321208556341793,0.0,-13.0,0.052631579000000005,1.203671178,72.89473684210526,High
Arizona,2024,0.1346328129143379,0.1,-13.0,0.05,1.203671178,59.7,Low
Arizona,2025,0.05406347494713487,0.0,-13.0,0.05263157905263158,1.203671178,57.68421052631579,Low
Arizona,2026,0.6321208556341793,0.0,-13.0,,1.203671178,0.0,High
Arkansas,2023,0.6321208556341793,0.14285714285714285,-21.0,0.1428571427142857,1.404023068,43.42857142857143,High
Arkansas,2024,0.16178021390854483,0.0,-21.0,0.125,1.404023068,38.0,Low
Arkansas,2025,0.0011111111111111111,0.0,-21.0,0.11111111100000001,1.404023068,32.22222222222222,Low
Arkansas,2026,0.6321208556341793,0.0,-21.0,,1.404023068,0.0,High
California,2023,0.6321208556341793,1.0,-48.0,,2.538435386,0.0,High
California,2024,0.6321208556341793,1.0,-48.0,,2.538435386,0.0,High
California,2025,0.6321208556341793,0.0,-48.0,,2.538435386,0.0,High
California,2026,0.6321208556341793,0.0,-48.0,,2.538435386,0.0,High
Colorado,2023,0.6321208556341793,1.0,-22.0,,1.351963495,0.0,High
Colorado,2024,0.6321208556341793,1.0,-22.0,,1.351963495,0.0,High
Colorado,2025,0.6321208556341793,0.0,-22.0,,1.351963495,0.0,High
Colorado,2026,0.6321208556341793,0.0,-22.0,,1.351963495,0.0,High
Connecticut,2023,0.6321208556341793,1.0,-113.0,,2.083929316,0.0,High
Connecticut,2024,0.6321208556341793,1.0,-113.0,,2.083929316,0.0,High
