"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","84,966,539","±137,371"
"    Income in the past 12 months below poverty level:","7,231,051","±42,819"
"        Married-couple family","2,817,431","±26,531"
"        Other families:","4,413,620","±39,040"
"            Male householder, no spouse present","821,707","±17,317"
"            Female householder, no spouse present","3,591,913","±34,176"
"    Income in the past 12 months at or above poverty level:","77,735,488","±149,598"
"        Married-couple family","59,162,653","±185,386"
"        Other families:","18,572,835","±88,192"
"            Male householder, no spouse present","6,091,391","±50,256"
"            Female householder, no spouse present","12,481,444","±67,238"
