Series ID,Year,Period,Label,Value
LNS12000000,2024,M01,2024 Jan,161133
LNS12000000,2024,M02,2024 Feb,161083
LNS12000000,2024,M03,2024 Mar,161462
LNS12000000,2024,M04,2024 Apr,161438
LNS12000000,2024,M05,2024 May,161180
LNS12000000,2024,M06,2024 Jun,161152
LNS12000000,2024,M07,2024 Jul,161297
LNS12000000,2024,M08,2024 Aug,161429
LNS12000000,2024,M09,2024 Sep,161813
LNS12000000,2024,M10,2024 Oct,161444
LNS12000000,2024,M11,2024 Nov,161159
LNS12000000,2024,M12,2024 Dec,161586
LNS12000000,2025,M01,2025 Jan,163831
LNS12000000,2025,M02,2025 Feb,163338
LNS12000000,2025,M03,2025 Mar,163509
LNS12000000,2025,M04,2025 Apr,163898
LNS12000000,2025,M05,2025 May,163244
LNS12000000,2025,M06,2025 Jun,163327
LNS12000000,2025,M07,2025 Jul,163140
LNS12000000,2025,M08,2025 Aug,163370
LNS12000000,2025,M09,2025 Sep,163656
LNS12000000,2025,M10,2025 Oct,-
LNS12000000,2025,M11,2025 Nov,163760
LNS12000000,2025,M12,2025 Dec,163992
LNS12000000,2026,M01,2026 Jan,164520
