Series ID,Year,Period,Label,Value
LNS14000000,2024,M01,2024 Jan,3.7
LNS14000000,2024,M02,2024 Feb,3.9
LNS14000000,2024,M03,2024 Mar,3.9
LNS14000000,2024,M04,2024 Apr,3.9
LNS14000000,2024,M05,2024 May,3.9
LNS14000000,2024,M06,2024 Jun,4.1
LNS14000000,2024,M07,2024 Jul,4.2
LNS14000000,2024,M08,2024 Aug,4.2
LNS14000000,2024,M09,2024 Sep,4.1
LNS14000000,2024,M10,2024 Oct,4.1
LNS14000000,2024,M11,2024 Nov,4.2
LNS14000000,2024,M12,2024 Dec,4.1
LNS14000000,2025,M01,2025 Jan,4.0
LNS14000000,2025,M02,2025 Feb,4.2
LNS14000000,2025,M03,2025 Mar,4.2
LNS14000000,2025,M04,2025 Apr,4.2
LNS14000000,2025,M05,2025 May,4.3
LNS14000000,2025,M06,2025 Jun,4.1
LNS14000000,2025,M07,2025 Jul,4.3
LNS14000000,2025,M08,2025 Aug,4.3
LNS14000000,2025,M09,2025 Sep,4.4
LNS14000000,2025,M10,2025 Oct,-
LNS14000000,2025,M11,2025 Nov,4.5
LNS14000000,2025,M12,2025 Dec,4.4
LNS14000000,2026,M01,2026 Jan,4.3
