State,Notes,Total beneficiaries,Comprehensive MCO (with or without MLTSS),PCCM,PCCM entity,MLTSS only,BHO (PIHP and/or PAHP),Dental,Transportation,PACE,Other,Year
American Samoa,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2016
TOTALS,,"10,003,132","2,461,330","19,479","183,144","273,791","714,831","172,835","1,222,840","33,678",388,2016
Arkansas4,"Arkansas is unable to report enrollment as of July 1, 2016. Enrollment figures represent cumulative enrollment for the state fiscal year (July 1,2015-June 30, 2016).","148,603",--,0,--,--,--,--,"57,213",0,--,2016
District of Columbia,,"16,383",43,--,--,--,--,--,"16,340",--,--,2016
Wyoming,,"10,681",--,--,--,--,--,--,--,93,0,2016
Pennsylvania,,"444,833","22,275",--,--,--,"272,137",--,"72,933","5,382",--,2016
Massachusetts,,"352,604","26,003",0,--,--,247,--,--,"3,759",--,2016
North Dakota,,"14,162",0,0,--,--,--,--,--,111,0,2016
Michigan5,Michigan is not able to provide dual-eligible enrollment for the Specialty Prepaid Inpatient Health plan.,"320,491","34,483",--,--,"10,605",0,0,--,"1,640",--,2016
Virginia,,"61,966",0,--,--,--,--,--,--,"1,330",--,2016
Hawaii,,"44,311","28,361",--,--,--,--,--,--,--,--,2016
Kentucky,,"167,990","65,562",--,--,--,--,--,0,--,--,2016
South Dakota,,"11,912",--,0,--,--,--,--,--,--,--,2016
Montana,,"26,774",--,0,--,--,--,--,--,--,--,2016
Alabama,,"209,660",--,0,--,--,--,--,--,171,0,2016
California,,"1,405,112","856,418",--,--,--,0,"49,076",--,"4,883",388,2016
Missouri,,"181,883",0,--,--,--,--,--,"144,162",--,--,2016
Northern Mariana Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2016
Louisiana,,"211,760",0,--,--,--,"100,960","100,263",--,397,--,2016
New Jersey,,"214,625","166,097",--,--,--,--,--,"166,086",829,--,2016
Delaware,,"28,972","11,791",--,--,--,--,--,--,183,--,2016
Washington9,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. Enrollment counts presented in Table 2 include both Medicaid-only and Medicare-Medicaid dually eligible beneficiaries.","123,714",0,0,--,--,0,--,0,0,--,2016
Guam,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2016
Oregon6,"Oregon’s enrollment in comprehensive MCOs includes dually eligible beneficiaries in (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously. Plan-level enrollment is found in Report 5.","72,400","44,419",--,--,--,--,--,--,"1,099",--,2016
Alaska,,n/a,--,--,--,--,--,--,--,--,--,2016
New Hampshire,,"31,392","15,957",--,--,--,--,--,--,--,--,2016
New Mexico,,"41,676","40,944",--,--,--,--,--,--,732,--,2016
South Carolina,,"163,382",0,0,--,--,--,--,"163,382",345,--,2016
Indiana,,"198,694","5,079",--,--,--,--,--,--,--,--,2016
Maine,,"93,402",--,0,--,--,--,--,"51,562",--,--,2016
Rhode Island,,"42,672","21,399",0,--,--,--,0,"34,191",247,--,2016
Mississippi,,"159,518",0,--,--,--,--,--,--,--,--,2016
Georgia,,"302,526",0,--,--,--,--,--,--,--,0,2016
West Virginia,,"82,212",0,--,--,--,--,--,--,--,--,2016
Utah,,"30,197","21,429",--,--,--,"27,219",80,"24,015",--,--,2016
Colorado,,"113,226","6,319",--,"33,590",--,"69,345",--,--,"2,923",--,2016
Ohio,,"93,385","41,724",--,--,--,--,--,--,316,--,2016
New York,,"878,246","14,217",--,--,"141,509",--,--,--,"4,789",--,2016
Texas,,"631,571","44,542",4,--,--,0,0,"357,384","1,157",--,2016
Iowa,,"80,230","58,511",--,--,--,--,0,"1,123",265,--,2016
Vermont8,"Vermont pays for Medicaid services for dually eligible enrollees on a FFS basis. Dually eligible enrollees reported in the Global Commitment to Health are Medicaid enrollees who have become newly eligible for Medicare and, as of July 1, have not yet transferred out of the program.","35,189",363,--,--,--,--,--,--,--,--,2016
Illinois,,"363,072",0,0,--,214,--,--,--,--,--,2016
Nevada,,"64,120",0,0,--,--,--,--,0,--,--,2016
Florida,,"768,103","147,268",--,--,"85,845",--,--,--,"1,229",--,2016
Puerto Rico,,"366,591","365,862",--,--,--,--,--,--,--,--,2016
Oklahoma,,"111,886",--,0,--,--,--,--,"111,886",277,--,2016
Minnesota,,"139,128","74,541",--,--,--,--,--,--,--,--,2016
Wisconsin,,"51,638","15,433",--,--,"35,618",7,--,--,580,0,2016
Maryland,,"139,112",0,--,--,--,--,--,--,93,--,2016
Connecticut,,n/a,--,--,--,--,--,--,--,--,--,2016
North Carolina,,"330,949",--,--,"149,554",--,"190,351",--,--,565,--,2016
Nebraska,,"34,811",47,--,--,--,"33,813",--,--,15,--,2016
Virgin Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2016
Kansas,,"78,943","38,107",--,--,--,--,--,--,0,--,2016
Arizona,,"201,884","139,177",--,--,--,--,--,--,--,--,2016
Tennessee7,Tennessee’s enrollment in comprehensive MCOs includes 367 dually eligible beneficiaries who are also enrolled in Magellan Health Services for pharmacy benefits and 367 dually eligible beneficiaries who are also enrolled in DentaQuest USA Insurance Company for dental services.,"280,797","152,633",--,--,--,--,--,--,268,--,2016
Idaho,,"25,744","2,326","19,475",--,--,"20,752","23,416","22,563",--,--,2016
Nevada,,"76,221",0,0,--,--,--,--,0,--,--,2017
"Georgia5,6","Georgia is unable to provide separate counts of Medicaid-only and dually eligible beneficiaries for their NEMT program. As a result, Medicare-Medicaid beneficiary enrollment is reported here as zero.  The total number of dually eligible beneficiaries reported for Georgia only includes beneficiaries in the QMB, SLMB, and QI programs.","308,492",0,--,--,--,--,--,0,--,0,2017
Rhode Island,,"45,845","9,905",--,--,--,--,0,0,254,--,2017
Washington11,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. Combined Medicaid-only and Medicare-Medicaid beneficiary enrollment counts are presented in Table 3.","125,613",0,0,--,--,0,--,0,0,--,2017
North Carolina,,"337,847",--,--,"151,657",--,"184,490",--,--,490,--,2017
TOTALS,,"10,302,266","2,835,244","20,638","209,235","333,856","689,688","180,690","1,130,158","34,936",406,2017
Louisiana,,"223,475",681,--,--,--,"102,520","102,899",--,430,--,2017
Utah,,"26,282","23,427",--,--,--,"24,516",64,"22,136",--,--,2017
Mississippi,,"160,687",0,--,--,--,--,--,--,--,--,2017
Arizona,,"212,464","144,971",--,--,--,--,--,--,--,--,2017
New Hampshire,,"31,799","16,147",--,--,--,--,--,--,--,--,2017
Indiana,,"206,148","4,653",--,--,--,--,--,--,127,--,2017
American Samoa,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2017
Missouri,,"181,092",0,--,--,--,--,--,"143,038",--,--,2017
South Carolina,,"168,671",0,0,--,--,--,--,"168,671",390,--,2017
Guam,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2017
New York,,"908,358","15,892",--,--,"165,429",--,--,--,"4,974",--,2017
Connecticut,,n/a,--,--,--,--,--,--,--,--,--,2017
Oklahoma,,"114,624",--,0,--,--,--,--,"114,624",377,--,2017
Virginia,,"60,630",0,--,--,--,--,--,--,"1,404",--,2017
Kentucky,,"151,956","56,746",--,--,--,--,--,0,--,--,2017
Ohio,,"251,004","82,652",--,--,--,--,--,--,336,--,2017
Illinois,,"373,053",0,0,--,"28,223",--,--,--,--,--,2017
Texas,,"644,765","296,462",0,--,--,--,0,"280,246","1,187",--,2017
Colorado4,"Colorado reported plan level enrollment as 30 for plans that had less than 30 beneficiaires. As a result, Medicaid Enrollment in Comprehensive Managed Care may be slightly inflated.","117,917","7,436",--,"57,578",--,"78,581",--,--,"3,458",--,2017
Alaska,,n/a,--,--,--,--,--,--,--,--,--,2017
Hawaii,,"42,901","35,175",--,--,--,--,--,--,--,--,2017
Montana,,"26,852",--,0,--,--,--,--,--,--,--,2017
Wyoming,,"10,942",--,--,--,--,--,--,--,127,0,2017
Massachusetts,,"356,336","42,814",0,--,--,331,--,--,"3,370",--,2017
Kansas,,"80,780","38,798",--,--,--,--,--,--,0,--,2017
