State Abbreviation,State Name,Reporting Period,Original or Updated,Beneficiaries with a Renewal Initiated,Beneficiaries with a Renewal Initiated - footnotes,Beneficiaries with a Renewal Due,Beneficiaries with a Renewal Due - footnotes,Beneficiaries Whose Coverage Was Renewed (Total),Beneficiaries Whose Coverage Was Renewed (Total) - footnotes,Beneficiaries Whose Coverage Was Renewed on an Ex Parte Basis,Beneficiaries Whose Coverage Was Renewed on an Ex Parte Basis - footnotes,Beneficiaries Whose Coverage Was Renewed based on a Renewal Form,Beneficiaries Whose Coverage Was Renewed based on a Renewal Form - footnotes,Beneficiaries Disenrolled at Renewal (Total),Beneficiaries Disenrolled at Renewal (Total) - footnotes,Beneficiaries Determined Ineligible at Renewal,Beneficiaries Determined Ineligible at Renewal - footnotes,Beneficiaries Disenrolled for Procedural Reasons at Renewal,Beneficiaries Disenrolled for Procedural Reasons at Renewal - footnotes,Beneficiaries with a Pending Renewal,Beneficiaries with a Pending Renewal - footnotes
AK,Alaska,202303,O,,,,,,,,,,,,,,,,,,
AK,Alaska,202303,U,,,,,,,,,,,,,,,,,,
AK,Alaska,202304,O,9402,,,,,,,,,,,,,,,,,
AK,Alaska,202304,U,,,,,,,,,,,,,,,,,,
AK,Alaska,202305,O,11367,,6539,,1988,,1193,,795,,2806,,2379,,427,,1745,
AK,Alaska,202305,U,,,6539,,2413,,1193,,1220,,3131,,1195,,1936,,995,
AK,Alaska,202306,O,18090,,7530,,2659,,1867,,792,,3380,,1272,,2108,,1491,
AK,Alaska,202306,U,,,7530,,3032,,1867,,1165,,3598,,1424,,2174,,900,
AK,Alaska,202307,O,26003,,14250,,4893,,4011,Data Undercount Renewals and Reflect These Outcomes in Another Metric in the Data Set,882,,7207,,1577,,5630,,2150,
AK,Alaska,202307,U,,,14250,,5632,,4011,,1621,,7599,,1859,,5740,,1019,
AK,Alaska,202308,O,16076,,19995,,6516,,5634,Data Undercount Renewals and Reflect These Outcomes in Another Metric in the Data Set,882,,9919,,1859,,8060,,3560,
AK,Alaska,202308,U,,,19995,,7911,,5634,,2277,,10552,,2382,,8170,,1532,
AK,Alaska,202309,O,13484,,12884,,4111,,3055,Data Undercount Renewals and Reflect These Outcomes in Another Metric in the Data Set,1056,,2171,State Held Some or All Procedural and/or Other Terminations for the Report Month,1469,,702,State Held Some or All Procedural and/or Other Terminations for the Report Month,6602,
AK,Alaska,202309,U,,,12884,,5693,,3055,,2638,,2654,,1872,,782,,4537,
AK,Alaska,202310,O,14177,,11813,,4272,,3232,Data Undercount Renewals and Reflect These Outcomes in Another Metric in the Data Set,1040,,1984,State Held Some or All Procedural and/or Other Terminations for the Report Month,1256,,728,State Held Some or All Procedural and/or Other Terminations for the Report Month,5557,
AK,Alaska,202310,U,,,11813,,6051,,3232,,2819,,2331,,1554,,777,,3431,
