"Title: Average Monthly Marketplace Premiums by Metal Tier | KFF State Health Facts"
"Timeframe: 2026"
"Location","Average Lowest-Cost Bronze Premium","Average Lowest-Cost Silver Premium","Average Benchmark Premium","Average Lowest-Cost Gold Premium"
"United States","$456","$611","$625","$615"
"Alabama","$433","$632","$645","$706"
"Alaska","$669","$1019","$1032","$912"
"Arizona","$430","$519","$532","$602"
"Arkansas","$447","$753","$774","$647"
"California","$440","$522","$570","$572"
"Colorado","$422","$535","$557","$515"
"Connecticut","$623","$757","$870","$805"
"Delaware","$542","$685","$691","$727"
"District of Columbia","$505","$565","$610","$649"
"Florida","$505","$674","$683","$640"
"Georgia","$485","$604","$615","$638"
"Hawaii","$414","$533","$541","$542"
"Idaho","$346","$484","$490","$511"
"Illinois","$436","$635","$646","$539"
"Indiana","$405","$473","$474","$646"
"Iowa","$359","$497","$501","$466"
"Kansas","$508","$650","$670","$684"
"Kentucky","$481","$577","$590","$667"
"Louisiana","$447","$637","$646","$676"
"Maine","$525","$696","$709","$752"
"Maryland","$283","$403","$414","$404"
"Massachusetts","$393","$476","$494","$575"
"Michigan","$384","$513","$523","$561"
"Minnesota","$384","$437","$448","$501"
"Mississippi","$589","$661","$662","$845"
"Missouri","$465","$604","$605","$579"
"Montana","$455","$681","$692","$701"
"Nebraska","$545","$710","$710","$729"
"Nevada","$396","$495","$497","$626"
"New Hampshire","$318","$394","$401","$434"
"New Jersey","$451","$538","$545","$700"
"New Mexico","$473","$565","$623","$509"
"New York","$610","$788","$817","$1057"
"North Carolina","$489","$633","$638","$662"
"North Dakota","$398","$553","$570","$549"
"Ohio","$400","$513","$513","$548"
"Oklahoma","$462","$602","$604","$617"
"Oregon","$453","$535","$543","$603"
"Pennsylvania","$364","$555","$572","$478"
"Rhode Island","$367","$488","$506","$502"
"South Carolina","$410","$564","$564","$594"
"South Dakota","$484","$642","$655","$665"
"Tennessee","$508","$707","$711","$698"
"Texas","$426","$651","$661","$570"
"Utah","$510","$614","$640","$701"
"Vermont","$824","$1289","$1299","$1135"
"Virginia","$351","$455","$455","$441"
"Washington","$364","$590","$612","$466"
"West Virginia","$775","$1036","$1073","$961"
"Wisconsin","$443","$602","$611","$640"
"Wyoming","$785","$1089","$1090","$1000"

"Notes"
"Premiums are monthly and may include premiums for non-essential health benefits. Premiums were analyzed using the lowest-cost premium for each metal tier (bronze, silver, and gold) and the second-lowest-cost silver (benchmark) premium for a 40-year-old in each county and weighted by county plan selections. In some state-based marketplaces, the premium data for some years are at the rating area level or zip level and are mapped to counties before weighting by county plan selections. For more information on sources and methodology, see: [How ACA Marketplace Premiums Changed by County in 2024](https://www.kff.org/affordable-care-act/issue-brief/how-aca-marketplace-premiums-changed-by-county-in-2024/)."

"Sources"
"KFF analysis of data from Healthcare.gov, state rate review websites, state plan finder tools, and state provided data."


