"Title: Total Number of Medicare Beneficiaries by Type of Coverage | KFF State Health Facts"
"Timeframe: 2024"
"Location","Total Medicare Enrollment","Traditional Medicare Enrollment","Traditional Medicare Enrollment Percent of Total Enrollment","Medicare Advantage and Other Health Plan Enrollment","Medicare Advantage and Other Health Plan Enrollment Percent of Total Enrollment"
"United States","66602052","33192249","0.498","33409802","0.502"
"Alabama","1118019","453494","0.406","664525","0.594"
"Alaska","118047","114940","0.974","3107","0.026"
"Arizona","1499414","744546","0.497","754868","0.503"
"Arkansas","678732","372890","0.549","305842","0.451"
"California","6933303","3414748","0.493","3518554","0.507"
"Colorado","1036586","496054","0.479","540532","0.521"
"Connecticut","742808","324802","0.437","418006","0.563"
"Delaware","245205","166952","0.681","78253","0.319"
"District of Columbia","96247","64439","0.67","31808","0.33"
"Florida","5133537","2249967","0.438","2883570","0.562"
"Georgia","1944905","877588","0.451","1067317","0.549"
"Hawaii","306382","142389","0.465","163993","0.535"
"Idaho","394446","202558","0.514","191888","0.486"
"Illinois","2406387","1375627","0.572","1030760","0.428"
"Indiana","1376933","698298","0.507","678635","0.493"
"Iowa","685807","431153","0.629","254654","0.371"
"Kansas","589686","393633","0.668","196054","0.332"
"Kentucky","988571","459098","0.464","529472","0.536"
"Louisiana","938891","414647","0.442","524244","0.558"
"Maine","378585","161469","0.427","217115","0.573"
"Maryland","1148648","872996","0.76","275652","0.24"
"Massachusetts","1456387","939781","0.645","516606","0.355"
"Michigan","2250601","864969","0.384","1385633","0.616"
"Minnesota","1150958","467163","0.406","683796","0.594"
"Mississippi","641558","367011","0.572","274547","0.428"
"Missouri","1331378","625185","0.47","706193","0.53"
"Montana","261954","184679","0.705","77274","0.295"
"Nebraska","383528","254067","0.662","129461","0.338"
"Nevada","602905","296746","0.492","306159","0.508"
"New Hampshire","344813","225364","0.654","119450","0.346"
"New Jersey","1766379","1054086","0.597","712293","0.403"
"New Mexico","462661","232587","0.503","230074","0.497"
"New York","3912348","1870979","0.478","2041368","0.522"
"North Carolina","2228458","994906","0.446","1233552","0.554"
"North Dakota","147844","97183","0.657","50660","0.343"
"Ohio","2535073","1120980","0.442","1414093","0.558"
"Oklahoma","805957","480568","0.596","325389","0.404"
"Oregon","945351","428454","0.453","516897","0.547"
"Pennsylvania","2949865","1388452","0.471","1561414","0.529"
"Rhode Island","243173","99395","0.409","143778","0.591"
"South Carolina","1230384","672118","0.546","558266","0.454"
"South Dakota","198271","126932","0.64","71339","0.36"
"Tennessee","1482703","705731","0.476","776972","0.524"
"Texas","4770640","2220519","0.465","2550121","0.535"
"Utah","465601","224199","0.482","241401","0.518"
"Vermont","165155","111527","0.675","53629","0.325"
"Virginia","1687718","1044130","0.619","643588","0.381"
"Washington","1523193","781361","0.513","741833","0.487"
"West Virginia","453115","209900","0.463","243215","0.537"
"Wisconsin","1315539","566468","0.431","749070","0.569"
"Wyoming","127403","104521","0.82","22882","0.18"

"Notes"
"The enrollment counts are determined using a person-year methodology. Total counts do not include beneficiaries in U.S territories. Numbers may not add to totals because of rounding."

"Sources"
"Centers for Medicare & Medicaid Services, Office of Enterprise Data and Analytics, Chronic Conditions Data Warehouse."


